,ID,Title,Author,Org
42,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Steve Benford,University of Nottingham
43,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Boriana N. Koleva,University of Nottingham
44,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting,,University of Nottingham
45,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Matt Adams,Blast Theory
46,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Ju Row Farr,Blast Theory
47,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Nick Tandavanitj,Blast Theory
48,5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Anders Sundnes Lovlie,IT University of Copenhagen
49,6,Design and Plural Heritages: Composing Critical Futures, Tom Schofield,Newcastle University
50,6,Design and Plural Heritages: Composing Critical Futures, Daniel Foster Smith,Newcastle University
51,6,Design and Plural Heritages: Composing Critical Futures, Gonul Bozoglu,Newcastle University
52,6,Design and Plural Heritages: Composing Critical Futures, Christopher Whitehead,Newcastle University
53,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Aditi Mallavarapu,University of Illinois at Chicago
54,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Leilah Lyons,University of Illinois at Chicago
55,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Stephen Uzzo,New York Hall of Science
56,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Wren Thompson,New York Hall of Science
57,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Rinat Levy-Cohen,Fordham University
58,7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Brian Slattery,University of Illinois at Chicago
59,8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Alexis Hiniker,University of Washington
60,8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Jon E. Froehlich,University of Washington
61,8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Mingrui Zhang,University of Washington
62,8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Erin Beneteau,University of Washington
63,9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, John Harris,University of Waterloo
64,9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, Mark Hancock,University of Waterloo
65,10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Leandro Florez-Aristizabal,Inst. Universitaria Antonio Jose Camacho
66,10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Sandra Cano,Universidad de San Buenaventura
67,10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Cesar A. Collazos,Universidad del Cauca
68,10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Andres F. Solano,Universidad Autonoma de Occidente
69,10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Stephen Brewster,University of Glasgow
70,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Jotaro Shigeyama,The University of Tokyo
71,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Takeru Hashimoto,The University of Tokyo
72,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Shigeo Yoshida,The University of Tokyo
73,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Takuji Narumi,The University of Tokyo
74,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Tomohiro Tanikawa,The University of Tokyo
75,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Michitaka Hirose,The University of Tokyo
76,11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model,,The University of Tokyo
77,12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Xujing Zhang,Queen's University
78,12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Sean Braley,Queen's University
79,12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Calvin Rubens,Queen's University
80,12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Timothy Merritt,Aalborg University
81,12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Roel Vertegaal,Queen's University
82,13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Hemant Bhaskar Surale,University of Waterloo
83,13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Aakar Gupta,University of Waterloo
84,13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Mark Hancock,University of Waterloo
85,13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Daniel Vogel,University of Waterloo
86,14,RotoSwype: Word-Gesture Typing using a Ring, Aakar Gupta,University of Waterloo
87,14,RotoSwype: Word-Gesture Typing using a Ring, Cheng Ji,University of Waterloo
88,14,RotoSwype: Word-Gesture Typing using a Ring, Hui-Shyong Yeo,University of St Andrews
89,14,RotoSwype: Word-Gesture Typing using a Ring, Aaron Quigley,University of St Andrews
90,14,RotoSwype: Word-Gesture Typing using a Ring, Daniel Vogel,University of Waterloo
91,15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Yasha Iravantchi,Carnegie Mellon University
92,15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Mayank Goel,Carnegie Mellon University
93,15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Chris Harrison,Carnegie Mellon University
94,16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Joao Guerreiro,Carnegie Mellon University
95,16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Dragan Ahmetovic,Carnegie Mellon University
96,16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Daisuke Sato,IBM Research
97,16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Kris Kitani,Robotics Institute
98,16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Chieko Asakawa,Carnegie Mellon University
99,17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience, Simon T. Perrault,Korea Advanced Institute of Science and Technology
100,17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience, Weiyu Zhang,National University of Singapore
101,18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking, Anran Wang,University of Washington
102,18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking, Shyamnath Gollakota,University of Washington
103,19,Casual Microtasking: Embedding Microtasks in Facebook, Nathan Hahn,Carnegie Mellon University
104,19,Casual Microtasking: Embedding Microtasks in Facebook, Shamsi T. Iqbal,Microsoft Research
105,19,Casual Microtasking: Embedding Microtasks in Facebook, Jaime Teevan,Microsoft Research
106,20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Leona Holloway,Monash University
107,20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Kim Marriott,Monash University
108,20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Matthew Butler,Monash University
109,20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Alan Borning,University of Washington
110,21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Cara Wilson,Queensland University of Technology
111,21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Margot Brereton,Queensland University of Technology
112,21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Bernd Ploderer,Queensland University of Technology
113,21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Laurianne Sitbon,Queensland University of Technology
114,22,Emotional Utility and Recall of the Facebook News Feed, Pawarat Nontasil,University of Bath
115,22,Emotional Utility and Recall of the Facebook News Feed, Stephen J. Payne,University of Bath
116,23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Mohammad Rashidujjaman Rifat,University of Toronto
117,23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Hasan Mahmud Prottoy,Bangladesh University of Engineering and Technology
118,23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Syed Ishtiaque Ahmed,University of Toronto
119,24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Ruolin Wang,Tsinghua University
120,24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Chun Yu,Tsinghua University
121,24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Xing-Dong Yang,Dartmouth College
122,24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Weijie He,Tsinghua University
123,24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Yuanchun Shi,Tsinghua University
124,25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Sangyoon Lee,Korea Advanced Institute of Science and Technology
125,25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Jaeyeon Lee,Korea Advanced Institute of Science and Technology
126,25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Geehyuk Lee,Korea Advanced Institute of Science and Technology
127,26,Impact of Contextual Factors on Snapchat Public Sharing, Hana Habib,Carnegie Mellon University
128,26,Impact of Contextual Factors on Snapchat Public Sharing, Neil Shah,Snap Inc.
129,26,Impact of Contextual Factors on Snapchat Public Sharing, Rajan Vaish,Snap Inc.
130,27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments, Martez E. Mott,University of Washington
131,27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments, Jacob O. Wobbrock,University of Washington
132,28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Shang Wang,Arizona State University
133,28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Deniz Sonmez Unal,University of Pittsburgh
134,28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Erin Walker,University of Pittsburgh
135,29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing, Judith Dorrenbacher,University of Siegen
136,29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing, Marc Hassenzahl,University of Siegen
137,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Adrian Hazzard,University of Nottingham
138,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Chris Greenhalgh,University of Nottingham
139,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Maria Kallionpaa,University of Nottingham
140,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Steve Benford,University of Nottingham
141,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Anne Veinberg,Leiden University
142,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Zubin Kanga,University of London
143,30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Andrew McPherson,Queen Mary University of London
144,31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Diyi Yang,Carnegie Mellon University
145,31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Zheng Yao,Carnegie Mellon University
146,31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Joseph Seering,Carnegie Mellon University
147,31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Robert Kraut,Carnegie Mellon University
148,32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Liam Mason,University of Lincoln
149,32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Kathrin Gerling,KU Leuven
150,32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Patrick Dickinson,University of Lincoln
151,32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Antonella De Angeli,University of Lincoln
152,33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Ella Dagan,University of California Santa Cruz
153,33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Elena Marquez Segura,Uppsala University
154,33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Ferran Altarriba Bertran,University of California Santa Cruz
155,33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Miguel Flores,University of California Santa Cruz
156,33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Katherine Isbister,University of California Santa Cruz
157,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, William Odom,Simon Fraser University
158,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Ron Wakkary,Eindhoven University of Technology
159,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Jeroen Hol,Eindhoven University of Technology
160,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Bram Naus,Eindhoven University of Technology
161,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Pepijn Verburg,Eindhoven University of Technology
162,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Tal Amram,Simon Fraser University
163,34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Amy Yo Sue Chen,Simon Fraser University
164,35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Laura Devendorf,University of Colorado Boulder
165,35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Kristina Andersen,Eindhoven University of Technology
166,35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Daniela K. Rosner,University of Washington
167,35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Ron Wakkary,Simon Fraser University
168,35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, James Pierce,University of California Berkeley
169,36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Alissa N. Antle,Simon Fraser University
170,36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Elgin-Skye McLaren,Simon Fraser University
171,36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Holly Fiedler,Langara College
172,36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Naomi Johnson,Social Work Independent Consultant
173,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Jianzhe Gu,Carnegie Mellon University
174,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, David E. Breen,Carnegie Mellon University
175,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Jenny Hu,Carnegie Mellon Univeristy
176,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Lifeng Zhu,Southeast University
177,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Ye Tao,Zhejiang Univeristy
178,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Tyson Van de Zande,Carnegie Mellon University
179,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Guanyun Wang,Carnegie Mellon University
180,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Yongjie Jessica Zhang,Carnegie Mellon University
181,37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Lining Yao,Carnegie Mellon University
182,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Jon McCormack,Monash University
183,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Toby Gifford,Monash University
184,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Patrick Hutchings,Monash University
185,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Maria Teresa Llano Rodriguez,University of London
186,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Matthew Yee-King,University of London
187,38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Mark d'Inverno,University of London
188,39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Vanessa Echeverria,University of Technology Sydney
189,39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Roberto Martinez-Maldonado,University of Technology Sydney
190,39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Simon Buckingham Shum,University of Technology Sydney
191,40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Michael Braun,BMW Group Research
192,40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Anja Mainz,Ludwig Maximilian University of Munich
193,40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Ronee Chadowitz,BMW Group Research
194,40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Bastian Pfleging,Ludwig Maximilian University of Munich
195,40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Florian Alt,Bundeswehr University Munich
196,41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Anna Brown,Massey University
197,41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Alexandra Chouldechova,Carnegie Mellon University
198,41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Emily Putnam-Hornstein,University of Southern California
199,41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Andrew Tobin,Massey University
200,41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Rhema Vaithianathan,Auckland University of Technology
201,42,ActiveInk: (Th)Inking with Data, Hugo Romat,Microsoft Research
202,42,ActiveInk: (Th)Inking with Data, Nathalie Henry Riche,Microsoft Research
203,42,ActiveInk: (Th)Inking with Data, Ken Hinckley,Microsoft Research
204,42,ActiveInk: (Th)Inking with Data, Bongshin Lee,Microsoft Research
205,42,ActiveInk: (Th)Inking with Data, Caroline Appert,Universite Paris-Saclay
206,42,ActiveInk: (Th)Inking with Data, Emmanuel Pietriga,Inria Universite Paris-Saclay
207,42,ActiveInk: (Th)Inking with Data, Christopher Collins,Microsoft Research
208,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Jacob Kittley-Davies,University of Southampton
209,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Ahmed Alqaraawi,University College London
210,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Rayoung Yang,University College London
211,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Enrico Costanza,University College London
212,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Alex Rogers,University of Oxford
213,43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Sebastian Stein,University of Southampton
214,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Guo Freeman,Clemson University
215,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Jeffrey Bardzell,Indiana University
216,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Shaowen Bardzell,Indiana University
217,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Szu-Yu Liu,Indiana University
218,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Xi Lu,Indiana University
219,44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Diandian Cao,Indiana University
220,45,Smart Home Security Cameras and Shifting Lines of Creepiness: A Design-Led Inquiry, James Pierce,University of California Berkeley
221,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Leah Findlater,University of Washington
222,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Bonnie Chinh,University of Washington
223,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Dhruv Jain,University of Washington
224,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Jon Froehlich,University of Washington
225,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Raja Kushalnagar,Gallaudet University
226,46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Angela Carey Lin,University of Washington
227,47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Chelsea M. Myers,Drexel University
228,47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Anushay Furqan,Drexel University
229,47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Jichen Zhu,Drexel University
230,48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Evan Strasnick,Stanford University
231,48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Sean Follmer,Stanford University
232,48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Maneesh Agrawala,Stanford University
233,49,A Practice-Led Account of the Conceptual Evolution of UX Knowledge, Yubo Kou,Florida State University
234,49,A Practice-Led Account of the Conceptual Evolution of UX Knowledge, Colin M. Gray,Purdue University
235,50,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations, Ha-Kyung Kong,University of Illinois at Urbana-Champaign
236,50,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations, Wenjie Zhu,University of Illinois at Urbana-Champaign
237,50,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations, Zhicheng Liu,Adobe Research
238,50,Understanding Visual Cues in Visualizations Accompanied by Audio Narrations, Karrie Karahalios,Adobe Research
239,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Niels van Berkel,The University of Melbourne
240,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Jorge Goncalves,The University of Melbourne
241,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Peter Koval,The University of Melbourne
242,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Simo Hosio,University of Oulu
243,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Tilman Dingler,University of Melbourne
244,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Denzil Ferreira,University of Oulu
245,51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports, Vassilis Kostakos,University of Melbourne
246,52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians, Seita Kayukawa,Carnegie Mellon University
247,52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians, Keita Higuchi,University of Tokyo
