ID,Title,Org,"Using scientific discoveries to inform design practice is an important, but difficult, objective in HCI. In this paper, we provide an overview of Translational Science in HCI by triangulating literature related to the research-practice gap with interview data from many parties engaged (or not) in translating HCI knowledge. We propose a model for Translational Science in HCI based on the concept of a continuum to describe how knowledge progresses (or stalls) through multiple steps and translations until it can influence design practice. The model offers a conceptual framework that can be used by researchers and practitioners to visualize and describe the progression of HCI knowledge through a sequence of translations. Additionally, the model may facilitate a precise identification of translational barriers, which allows devising more effective strategies to increase the use of scientific findings in design practice."
52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians,Waseda Research Institute for Science and Engineering,
397,Managing Multimorbidity: Identifying Design Requirements for a Digital Self-Management Tool to Support Older Adults with Multiple Chronic Conditions,Vrije Universiteit Brussel,
397,Managing Multimorbidity: Identifying Design Requirements for a Digital Self-Management Tool to Support Older Adults with Multiple Chronic Conditions,Vrije Universiteit Brussel,
473,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,Voysis,
506,Guideline-Based Evaluation of Web Readability,Vita-Salute San Raffaele University,
204,Editing Spatial Layouts through Tactile Templates for People with Visual Impairments,Vista Center for the Blind and Visually Impaired,
537,Critter: Augmenting Creative Work with Dynamic Checklists Automated Quality Assurance and Contextual Reviewer Feedback,Virginia Tech,
537,Critter: Augmenting Creative Work with Dynamic Checklists Automated Quality Assurance and Contextual Reviewer Feedback,Virginia Tech,
325,The Scale and Structure of Personal File Collections,Victoria University of Wellington,
61,Hackathons as Participatory Design: Iterating Feminist Utopias,Versed Education Group,
609,Communication Cost of Single-user Gesturing Tool in Laparoscopic Surgical Training,Vassar College,
91,Unobtrusively Enhancing Reflection-in-Action of Teachers through Spatially Distributed Ambient Information,Utrecht University,
91,Unobtrusively Enhancing Reflection-in-Action of Teachers through Spatially Distributed Ambient Information,Utrecht University,
235,Clairbuoyance: Improving Directional Perception for Swimmers,Utrecht University,
453,Designing for Reproducibility: A Qualitative Study of Challenges and Opportunities in High Energy Physics,Utrecht University,
458,Gamification in Science: A Study of Requirements in the Context of Reproducible Research,Utrecht University,
544,VRsneaky: Increasing Presence in VR Through Gait-Aware Auditory Feedback,Utrecht University,
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability,Uppsala University,
88,ExerCube vs. Personal Trainer: Evaluating a Holistic Immersive and Adaptive Fitness Game Setup,Uppsala University,
88,ExerCube vs. Personal Trainer: Evaluating a Holistic Immersive and Adaptive Fitness Game Setup,Uppsala University,
633,Electronic Health Records Are More Than a Work Tool: Conflicting Needs of Direct and Indirect Stakeholders,Uppsala University,
509,Understanding Kinaesthetic Creativity in Dance,University Paris-Sud,
509,Understanding Kinaesthetic Creativity in Dance,University Paris-Sud,
621,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information,University Paris-Sud,
621,Augmenting Couples' Communication with Lifelines: Shared Timelines of Mixed Contextual Information,University Paris-Sud,
642,An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts,University Paris-Sud,
642,An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts,University Paris-Sud,
642,An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts,University Paris-Sud,
642,An Exploratory Study on Visual Exploration of Model Simulations by Multiple Types of Experts,University Paris-Sud,
215,Touchstone2: An Interactive Environment for Exploring Trade-offs in HCI Experiment Design,University of Zurich,
239,Virtual Hubs: Understanding Relational Aspects and Remediating Incubation,University of York & Petra Christian University,
221,The Role of Gaming During Difficult Life Experiences,University of York,
239,Virtual Hubs: Understanding Relational Aspects and Remediating Incubation,University of York,
257,Influencers in Multiplayer Online Shooters: Evidence of Social Contagion in Playtime and Social Play,University of York,
435,Our Story: Addressing Challenges in Development Contexts for Sustainable Participatory Video,University of York,
601,Voice as a Design Material: Sociophonetic Inspired Design Strategies in Human-Computer Interaction,University of York,
625,"Transformation through Provocation?: Designing a ""Bot of Conviction"" to Challenge Conceptions and Evoke Critical Reflection",University of York,
625,"Transformation through Provocation?: Designing a ""Bot of Conviction"" to Challenge Conceptions and Evoke Critical Reflection",University of York,
173,Usability of Gamified Knowledge Learning in VR and Desktop-3D,University of Wurzburg,
219,Detecting Personality Traits Using Eye-Tracking Data,University of Wisconsin - Madison,
345,RealityCheck: Blending Virtual Environments with Situated Physical Reality,University of Waterloo & Microsoft Research,
9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play,University of Waterloo,
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality,University of Waterloo,
14,RotoSwype: Word-Gesture Typing using a Ring,University of Waterloo,
14,RotoSwype: Word-Gesture Typing using a Ring,University of Waterloo,
164,HotStrokes: Word-Gesture Shortcuts on a Trackpad,University of Waterloo,
185,Automating the Intentional Encoding of Human-Designable Markers,University of Waterloo,
194,Experimental Analysis of Barehand Mid-air Mode-Switching Techniques in Virtual Reality,University of Waterloo,
194,Experimental Analysis of Barehand Mid-air Mode-Switching Techniques in Virtual Reality,University of Waterloo,
244,An Evaluation of Touch Input at the Edge of a Table,University of Waterloo,
309,PledgeWork: Online Volunteering through Crowdwork,University of Waterloo,
404,Expression of Curiosity in Social Robots: Design,University of Waterloo,
404,Expression of Curiosity in Social Robots: Design,University of Waterloo,
441,Quantitative Measurement of Tool Embodiment for Virtual Reality Input Alternatives,University of Waterloo,
483,Leveraging Distal Vibrotactile Feedback for Target Acquisition,University of Waterloo,
499,PinchList: Leveraging Pinch Gestures for Hierarchical List Navigation on Smartphones,University of Waterloo,
518,Automation Accuracy Is Good but High Controllability May Be Better,University of Waterloo,
273,Clench Interface: Novel Biting Input Techniques,University of Washington & Tsinghua University,
3,Guidelines for Human-AI Interaction,University of Washington & Microsoft Research,
75,Modeling Mobile Interface Tappability Using Crowdsourcing and Deep Learning,University of Washington & Google Research,
291,Interactive Repair of Tables Extracted from PDF Documents on Mobile Devices,University of Washington & Adobe Research,
1,A Translational Science Model for HCI,University of Washington,
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies,University of Washington,
18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking,University of Washington,
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments,University of Washington,
27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments,University of Washington,
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old,University of Washington,
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies,University of Washington,
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies,University of Washington,
61,Hackathons as Participatory Design: Iterating Feminist Utopias,University of Washington,
62,Project Sidewalk: A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale,University of Washington,
62,Project Sidewalk: A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale,University of Washington,
62,Project Sidewalk: A Web-based Crowdsourcing Tool for Collecting Sidewalk Accessibility Data At Scale,University of Washington,
72,Threats Abuses Flirting and Blackmail: Gender Inequity in Social Media Voice Forums,University of Washington,
73,Laughing is Scary but Farting is Cute: A Conceptual Model of Children's Perspectives of Creepy Technologies,University of Washington,
94,Exploring Sound Awareness in the Home for People who are Deaf or Hard of Hearing,University of Washington,
107,Supporting Coping with Parkinson's Disease Through Self Tracking,University of Washington,
113,Thermporal: An Easy-To-Deploy Temporal Thermographic Sensor System to Support Residential Energy Audits,University of Washington,
131,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,University of Washington,
133,Visually Encoding the Lived Experience of Bipolar Disorder,University of Washington,
141,Virtual Showdown: An Accessible Virtual Reality Game with Scaffolds for Youth with Visual Impairments,University of Washington,
144,In UX We Trust: Investigation of Aesthetics and Usability of Driver-Vehicle Interfaces and Their Impact on the Perception of Automated Driving,University of Washington,
152,r/science: Challenges and Opportunities in Online Science Communication,University of Washington,
152,r/science: Challenges and Opportunities in Online Science Communication,University of Washington,
167,ReCall: Crowdsourcing on Basic Phones to Financially Sustain Voice Forums,University of Washington,
200,Decision-Making Under Uncertainty in Research Synthesis: Designing for the Garden of Forking Paths,University of Washington,
225,Everything's the Phone: Understanding the Phone's Supercharged Role in Parent-Teen Relationships,University of Washington,
225,Everything's the Phone: Understanding the Phone's Supercharged Role in Parent-Teen Relationships,University of Washington,
228,AILA: Attentive Interactive Labeling Assistant for Document Classification through Attention-Based Deep Neural Networks,University of Washington,
241,Communication Breakdowns Between Families and Alexa,University of Washington,
241,Communication Breakdowns Between Families and Alexa,University of Washington,
246,Pay Attention Please: Formal Language Improves Attention in Volunteer and Paid Online Experiments,University of Washington,
253,Crowdlicit: A System for Conducting Distributed End-User Elicitation and Identification Studies,University of Washington,
253,Crowdlicit: A System for Conducting Distributed End-User Elicitation and Identification Studies,University of Washington,
258,Digital Financial Needs of Micro-entrepreneur Women in Pakistan: Is Mobile Money The Answer?,University of Washington,
266,Who's In Control?: Interactions In Multi-User Smart Homes,University of Washington,
273,Clench Interface: Novel Biting Input Techniques,University of Washington,
276,Beautiful Seams: Strategic Revelations and Concealments,University of Washington,
296,"The Promise of Empathy: Design Disability and Knowing the ""Other""",University of Washington,
310,Modeling the Engagement-Disengagement Cycle of Compulsive Phone Use,University of Washington,
312,Occupational Therapy is Making: Clinical Rapid Prototyping and Digital Fabrication,University of Washington,
330,Vocal Shortcuts for Creative Experts,University of Washington,
337,Human-Computer Insurrection: Notes on an Anarchist HCI,University of Washington,
348,Engaging Lived and Virtual Realities,University of Washington,
349,Alternative Avenues for IoT: Designing with Non-Stereotypical Homes,University of Washington,
364,Beyond the Patient Portal: Supporting Needs of Hospitalized Patients,University of Washington,
364,Beyond the Patient Portal: Supporting Needs of Hospitalized Patients,University of Washington,
409,Will You Accept an Imperfect AI? Exploring Designs for Adjusting End-user Expectations of AI Systems,University of Washington,
419,Analyzing the Use of Camera Glasses in the Wild,University of Washington,
422,Understanding the Impact of TVIs on Technology Use and Selection by Children with Visual Impairments,University of Washington,
468,Supporting Communication About Values Between People with Multiple Chronic Conditions and their Providers,University of Washington,
468,Supporting Communication About Values Between People with Multiple Chronic Conditions and their Providers,University of Washington,
470,People Who Can Take It: How Women Wikipedians Negotiate and Navigate Safety,University of Washington,
470,People Who Can Take It: How Women Wikipedians Negotiate and Navigate Safety,University of Washington,
491,Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT,University of Washington,
516,Put Your Warning Where Your Link Is: Improving and Evaluating Email Phishing Warnings,University of Washington,
522,The Impact of Web Browser Reader Views on Reading Speed and User Experience,University of Washington,
522,The Impact of Web Browser Reader Views on Reading Speed and User Experience,University of Washington,
529,Cicero: Multi-Turn Contextual Argumentation for Accurate Crowdsourcing,University of Washington,
559,Who Gets to Future? Race Representation and Design Methods in Africatown,University of Washington,
559,Who Gets to Future? Race Representation and Design Methods in Africatown,University of Washington,
585,Group Interactions in Location-Based Gaming: A Case Study of Raiding in Pokemon GO,University of Washington,
634,Text Entry Throughput: Towards Unifying Speed and Accuracy in a Single Performance Metric,University of Washington,
634,Text Entry Throughput: Towards Unifying Speed and Accuracy in a Single Performance Metric,University of Washington,
644,Keeping Rumors in Proportion: Managing Uncertainty in Rumor Systems,University of Washington,
653,Facilitating Self-reflection about Values and Self-care Among Individuals with Chronic Conditions,University of Washington,
659,Breakdowns in Home-School Collaboration for Behavioral Intervention,University of Washington,
669,Privacy Anonymity and Perceived Risk in Open Collaboration: A Study of Service Providers,University of Washington,
688,A Badge Not a Barrier: Designing for–and Throughout–Digital Badge Implementation,University of Washington,
692,Falcon: Balancing Interactive Latency and Resolution Sensitivity for Scalable Linked Visualizations,University of Washington,
526,Poirot: A Web Inspector for Designers,University of Virginia,
428,Social Play in an Exergame: How the Need to Belong Predicts Adherence,University of Victoria,
623,A Design Space for Gaze Interaction on Head-mounted Displays,University of Ulm,
135,Putting the Value in VR: How to Systematically and Iteratively Develop a Value-Based VR Application with a Complex Target Group,University of Twente,
135,Putting the Value in VR: How to Systematically and Iteratively Develop a Value-Based VR Application with a Complex Target Group,University of Twente,
135,Putting the Value in VR: How to Systematically and Iteratively Develop a Value-Based VR Application with a Complex Target Group,University of Twente,
149,The Invisible Potential of Facial Electromyography: A Comparison of EMG and Computer Vision when Distinguishing Posed from Spontaneous Smiles,University of Tsukuba,
319,EnhancedTouchX: Smart Bracelets for Augmenting Interpersonal Touch Interactions,University of Tsukuba,
570,REsCUE: A framework for REal-time feedback on behavioral CUEs using multimodal anomaly detection,University of Tsukuba,
611,Slow Robots for Unobtrusive Posture Correction,University of Tsukuba,
611,Slow Robots for Unobtrusive Posture Correction,University of Tsukuba,
694,Egocentric Smaller-person Experience through a Change in Visual Perspective,University of Tsukuba,
694,Egocentric Smaller-person Experience through a Change in Visual Perspective,University of Tsukuba,
506,Guideline-Based Evaluation of Web Readability,University of Trento,
102,Finding Information on Non-Rectangular Interfaces,University of Toulouse,
102,Finding Information on Non-Rectangular Interfaces,University of Toulouse,
153,Multi-plie: A Linear Foldable and Flattenable Interactive Display to Support Efficiency Safety and Collaboration,University of Toulouse,
153,Multi-plie: A Linear Foldable and Flattenable Interactive Display to Support Efficiency Safety and Collaboration,University of Toulouse,
153,Multi-plie: A Linear Foldable and Flattenable Interactive Display to Support Efficiency Safety and Collaboration,University of Toulouse,
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh,University of Toronto,
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh,University of Toronto,
65,Increasing the Transparency of Research Papers with Explorable Multiverse Analyses,University of Toronto,
105,DataToon: Drawing Dynamic Network Comics With Pen + Touch Interaction,University of Toronto,
131,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,University of Toronto,
165,How Do One's Peers on a Leaderboard Affect Oneself?,University of Toronto,
178,Everyone Has Some Personal Stuff: Designing to Support Digital Privacy with Shared Mobile Phone Use in Bangladesh,University of Toronto,
191,A Lie Reveals the Truth: Quasimodes for Task-Aligned Data Presentation,University of Toronto,
227,I feel it is my responsibility to stream: Streaming and Engaging with Intangible Cultural Heritage through Livestreaming,University of Toronto,
227,I feel it is my responsibility to stream: Streaming and Engaging with Intangible Cultural Heritage through Livestreaming,University of Toronto,
354,Witchcraft and HCI: Morality,University of Toronto,
436,Integrating Multimedia Tools to Enrich Interactions in Live Streaming for Language Learning,University of Toronto,
436,Integrating Multimedia Tools to Enrich Interactions in Live Streaming for Language Learning,University of Toronto,
454,Color Builder: A Direct Manipulation Interface for Versatile Color Theme Authoring,University of Toronto,
473,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,University of Toronto,
473,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,University of Toronto,
499,PinchList: Leveraging Pinch Gestures for Hierarchical List Navigation on Smartphones,University of Toronto,
499,PinchList: Leveraging Pinch Gestures for Hierarchical List Navigation on Smartphones,University of Toronto,
685,HoloDoc: Enabling Mixed Reality Workspaces that Harness Physical and Digital Content,University of Toronto,
685,HoloDoc: Enabling Mixed Reality Workspaces that Harness Physical and Digital Content,University of Toronto,
52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians,University of Tokyo,
52,BBeep: A Sonic Collision Avoidance System for Blind Travellers and Nearby Pedestrians,University of Tokyo,
87,Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback,University of Tokyo,
218,ElasticVR: Providing Multilevel Continuously-Changing Resistive Force and Instant Impact Using Elasticity for VR,University of Tokyo,
570,REsCUE: A framework for REal-time feedback on behavioral CUEs using multimodal anomaly detection,University of Tokyo,
641,Preemptive Action: Accelerating Human Reaction using Electrical Muscle Stimulation Without Compromising Agency,University of Tokyo,
504,"Behind the Curtain of the ""Ultimate Empathy Machine"": On the Composition of Virtual Reality Nonfiction Experiences",University of the West of England,
504,"Behind the Curtain of the ""Ultimate Empathy Machine"": On the Composition of Virtual Reality Nonfiction Experiences",University of the West of England,
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data,University of Technology Sydney,
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data,University of Technology Sydney,
350,Collaborative Futures: Co-Designing Research Methods for Younger People Living with Dementia,University of Technology Sydney,
425,Detecting Visuo-Haptic Mismatches in Virtual Reality using the Prediction Error Negativity of Event-Related Brain Potentials,University of Technology Sydney,
219,Detecting Personality Traits Using Eye-Tracking Data,University of Sydney,
219,Detecting Personality Traits Using Eye-Tracking Data,University of Sydney,
121,Sampling Strategy for Ultrasonic Mid-Air Haptics,University of Sussex,
132,I'm Sensing in the Rain: Spatial Incongruity in Visual-Tactile Mid-Air Stimulation Can Elicit Ownership in VR Users,University of Sussex,
271,PickCells: A Physically Reconfigurable Cell-composed Touchscreen,University of Sussex,
457,Like Popcorn: Crossmodal Correspondences Between Scents 3D Shapes and Emotions in Children,University of Sussex,
457,Like Popcorn: Crossmodal Correspondences Between Scents 3D Shapes and Emotions in Children,University of Sussex,
481,VARI-SOUND: A Varifocal Lens for Sound,University of Sussex,
481,VARI-SOUND: A Varifocal Lens for Sound,University of Sussex,
54,How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration Performance and Workload Based on Subjective Behavioral and Neurophysiological Insights,University of Stuttgart & Fraunhofer Institute for Industrial Engineering IAO,
187,Investigating the Effect of Orientation and Visual Style on Touchscreen Slider Performance,University of Stuttgart,
230,Neighborhood Perception in Bar Charts,University of Stuttgart,
235,Clairbuoyance: Improving Directional Perception for Swimmers,University of Stuttgart,
235,Clairbuoyance: Improving Directional Perception for Swimmers,University of Stuttgart,
358,Using Presence Questionnaires in Virtual Reality,University of Stuttgart,
358,Using Presence Questionnaires in Virtual Reality,University of Stuttgart,
359,Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model,University of Stuttgart,
359,Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model,University of Stuttgart,
414,Evaluation of Appearance-Based Methods and Implications for Gaze-Based Applications,University of Stuttgart,
505,Online VR AR Lab and In-Situ: Comparison of Research Methods to Evaluate Smart Artifacts,University of Stuttgart,
521,Understanding the Impact of Information Representation on Willingness to Share Information,University of Stuttgart,
623,A Design Space for Gaze Interaction on Head-mounted Displays,University of Stuttgart,
439,Making Diabetes Education Interactive: Tangible Educational Toys for Children with Type-1 Diabetes,University of Strathclyde,
130,Dynamic Network Plaid: A Tool for the Analysis of Dynamic Networks,University of St. Andrews,
14,RotoSwype: Word-Gesture Typing using a Ring,University of St Andrews,
58,A Comparison of Guiding Techniques for Out-of-View Objects in Full-Coverage Displays,University of St Andrews,
441,Quantitative Measurement of Tool Embodiment for Virtual Reality Input Alternatives,University of St Andrews,
676,Making Sense of Human-Food Interaction,University of Southern Denmark,
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services,University of Southern California,
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study,University of Southampton,
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study,University of Southampton,
100,Collaborative Practices with Structured Data: Do Tools Support What Users Need?,University of Southampton,
100,Collaborative Practices with Structured Data: Do Tools Support What Users Need?,University of Southampton,
455,A Review & Analysis of Mindfulness Research in HCI: Framing Current Lines of Research and Future Opportunities,University of Southampton,
637,Tracking the Consumption of Home Essentials,University of Southampton,
171,Evaluating the Combination of Visual Communication Cues for HMD-based Mixed Reality Remote Collaboration,University of South Australia,
171,Evaluating the Combination of Visual Communication Cues for HMD-based Mixed Reality Remote Collaboration,University of South Australia,
199,Mixed Reality Remote Collaboration Combining 360 Video and 3D Reconstruction,University of South Australia,
226,On the Shoulder of the Giant: A Multi-Scale Mixed Reality Collaboration with 360 Video Sharing and Tangible Interaction,University of South Australia,
226,On the Shoulder of the Giant: A Multi-Scale Mixed Reality Collaboration with 360 Video Sharing and Tangible Interaction,University of South Australia,
323,Scaptics and Highlight-Planes: Immersive Interaction Techniques for Finding Occluded Features in 3D Scatterplots,University of South Australia,
606,Warping Deixis: Distorting Gestures to Enhance Collaboration,University of South Australia,
29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing,University of Siegen,
403,Using Time and Space Efficiently in Driverless Cars: Findings of a Co-Design Study,University of Siegen,
578,Guerilla Warfare and the Use of New (and Some Old) Technology: Lessons from FARC's Armed Struggle in Colombia,University of Siegen,
578,Guerilla Warfare and the Use of New (and Some Old) Technology: Lessons from FARC's Armed Struggle in Colombia,University of Siegen,
58,A Comparison of Guiding Techniques for Out-of-View Objects in Full-Coverage Displays,University of Saskatchewan,
206,Effects of Local Latency on Game Pointing Devices and Game Pointing Tasks,University of Saskatchewan,
360,Anchoring Effects and Troublesome Asymmetric Transfer in Subjective Ratings,University of Saskatchewan,
531,FTVR in VR: Evaluation of 3D Perception With a Simulated Volumetric Fish-Tank Virtual Reality Display,University of Saskatchewan,
553,Improving Early Navigation in Time-Lapse Video with Spread-Frame Loading,University of Saskatchewan,
638,Peripheral Notifications in Large Displays: Effects of Feature Combination and Task Interference,University of Saskatchewan,
555,Investigating Implicit Gender Bias and Embodiment of White Males in Virtual Reality with Full Body Visuomotor Synchrony,University of San Francisco,
507,Trolled by the Trolley Problem: On What Matters for Ethical Decision Making in Automated Vehicles,University of Salzburg,
187,Investigating the Effect of Orientation and Visual Style on Touchscreen Slider Performance,University of Regensburg,
358,Using Presence Questionnaires in Virtual Reality,University of Regensburg,
359,Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model,University of Regensburg,
418,On the Latency of USB-Connected Input Devices,University of Regensburg,
505,Online VR AR Lab and In-Situ: Comparison of Research Methods to Evaluate Smart Artifacts,University of Regensburg,
696,Effect of Orientation on Unistroke Touch Gestures,University of Regensburg,
584,Continuous Evaluation of Video Lectures from Real-Time Difficulty Self-Report,University of Queensland,
103,Augmentation not Duplication: Considerations for the Design of Digitally-Augmented Comic Books,University of Primorska,
103,Augmentation not Duplication: Considerations for the Design of Digitally-Augmented Comic Books,University of Primorska,
103,Augmentation not Duplication: Considerations for the Design of Digitally-Augmented Comic Books,University of Primorska,
645,Understanding Metamaterial Mechanisms,University of Potsdam,
645,Understanding Metamaterial Mechanisms,University of Potsdam,
28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments,University of Pittsburgh,
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study,University of Oxford,
106,'I make up a silly name': Understanding Children's Perception of Privacy Risks Online,University of Oxford,
106,'I make up a silly name': Understanding Children's Perception of Privacy Risks Online,University of Oxford,
106,'I make up a silly name': Understanding Children's Perception of Privacy Risks Online,University of Oxford,
131,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,University of Oxford,
131,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,University of Oxford,
131,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,University of Oxford,
51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports,University of Oulu,
51,Context-Informed Scheduling and Analysis: Improving Accuracy of Mobile Self-Reports,University of Oulu,
394,Power Struggles and Disciplined Designers - A Nexus Analytic Inquiry on Cross-Disciplinary Research and Design,University of Oulu,
583,TrackCap: Enabling Smartphones for 3D Interaction on Mobile Head-Mounted Displays,University of Otago,
610,Resolving Target Ambiguity in 3D Gaze Interaction through VOR Depth Estimation,University of Otago,
361,Aggregated Visualization of Playtesting Data,University of Ontario Institute of Technology,
361,Aggregated Visualization of Playtesting Data,University of Ontario Institute of Technology,
539,Saliency Deficit and Motion Outlier Detection in Animated Scatterplots,University of Ontario Institute of Technology,
629,Let's Play Together: Adaptation Guidelines of Board Games for Players with Visual Impairment,University of Ontario Institute of Technology,
629,Let's Play Together: Adaptation Guidelines of Board Games for Players with Visual Impairment,University of Ontario Institute of Technology,
629,Let's Play Together: Adaptation Guidelines of Board Games for Players with Visual Impairment,University of Ontario Institute of Technology,
618,NaviBike: Comparing Unimodal Navigation Cues for Child Cyclists,University of Oldenburg,
618,NaviBike: Comparing Unimodal Navigation Cues for Child Cyclists,University of Oldenburg,
665,Measuring and Understanding Photo Sharing Experiences in Social Virtual Reality,University of Oldenburg,
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting,University of Nottingham,
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance,University of Nottingham,
148,From Director's Cut to User's Cut: to Watch a Brain-Controlled Film is to Edit it,University of Nottingham,
398,The Performative Mirror Space,University of Nottingham,
398,The Performative Mirror Space,University of Nottingham,
569,Card Mapper: Enabling Data-Driven Reflections on Ideation Cards,University of Nottingham,
569,Card Mapper: Enabling Data-Driven Reflections on Ideation Cards,University of Nottingham,
569,Card Mapper: Enabling Data-Driven Reflections on Ideation Cards,University of Nottingham,
579,Abstract Machines: Overlaying Virtual Worlds on Physical Rides,University of Nottingham,
624,The Heat is On: Exploring User Behaviour in a Multisensory Virtual Environment for Fire Evacuation,University of Nottingham,
637,Tracking the Consumption of Home Essentials,University of Nottingham,
655,Inalienability: Understanding Digital Gifts,University of Nottingham,
698,Sensory Alignment in Immersive Entertainment,University of Nottingham,
