"","ID","Title","Authors"
"3517",7,"Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum"," Brian Slattery (University of Illinois at Chicago)"
"8",8,"Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies"," Alexis Hiniker"
"710",8,"Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies"," Jon E. Froehlich"
"1412",8,"Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies"," Mingrui Zhang"
"2114",8,"Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies"," Erin Beneteau (University of Washington)"
"9",9,"To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play"," John Harris"
"711",9,"To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play"," Mark Hancock (University of Waterloo)"
"10",10,"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities"," Leandro Florez-Aristizabal (Inst. Universitaria Antonio Jose Camacho)"
"712",10,"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities"," Sandra Cano (Universidad de San Buenaventura)"
"1414",10,"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities"," Cesar A. Collazos (Universidad del Cauca)"
"2116",10,"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities"," Andres F. Solano (Universidad Autonoma de Occidente)"
"2818",10,"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities"," Stephen Brewster (University of Glasgow)"
"11",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Jotaro Shigeyama"
"713",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Takeru Hashimoto"
"1415",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Shigeo Yoshida"
"2117",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Takuji Narumi"
"2819",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Tomohiro Tanikawa"
"3521",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," Michitaka Hirose"
"4223",11,"Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model"," (The University of Tokyo)"
"12",12,"LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence"," Xujing Zhang"
"714",12,"LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence"," Sean Braley"
"1416",12,"LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence"," Calvin Rubens (Queen's University)"
"2118",12,"LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence"," Timothy Merritt (Aalborg University)"
"2820",12,"LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence"," Roel Vertegaal (Queen's University)"
"13",13,"TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality"," Hemant Bhaskar Surale"
"715",13,"TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality"," Aakar Gupta"
"1417",13,"TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality"," Mark Hancock"
"2119",13,"TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality"," Daniel Vogel (University of Waterloo)"
"14",14,"RotoSwype: Word-Gesture Typing using a Ring"," Aakar Gupta"
"716",14,"RotoSwype: Word-Gesture Typing using a Ring"," Cheng Ji (University of Waterloo)"
"1418",14,"RotoSwype: Word-Gesture Typing using a Ring"," Hui-Shyong Yeo"
"2120",14,"RotoSwype: Word-Gesture Typing using a Ring"," Aaron Quigley (University of St Andrews)"
"2822",14,"RotoSwype: Word-Gesture Typing using a Ring"," Daniel Vogel (University of Waterloo)"
"15",15,"BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming"," Yasha Iravantchi"
"717",15,"BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming"," Mayank Goel"
"1419",15,"BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming"," Chris Harrison (Carnegie Mellon University)"
"16",16,"Airport Accessibility and Navigation Assistance for People with Visual Impairments"," Joao Guerreiro (Carnegie Mellon University)"
"718",16,"Airport Accessibility and Navigation Assistance for People with Visual Impairments"," Dragan Ahmetovic (Carnegie Mellon University)"
"1420",16,"Airport Accessibility and Navigation Assistance for People with Visual Impairments"," Daisuke Sato (IBM Research & Carnegie Mellon University)"
"2122",16,"Airport Accessibility and Navigation Assistance for People with Visual Impairments"," Kris Kitani (Robotics Institute)"
"2824",16,"Airport Accessibility and Navigation Assistance for People with Visual Impairments"," Chieko Asakawa (Carnegie Mellon University)"
"17",17,"Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience"," Simon T. Perrault (Yale-NUS College & Korea Advanced Institute of Science and Technology)"
"719",17,"Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience"," Weiyu Zhang (National University of Singapore)"
"18",18,"MilliSonic: Pushing the Limits of Acoustic Motion Tracking"," Anran Wang"
"720",18,"MilliSonic: Pushing the Limits of Acoustic Motion Tracking"," Shyamnath Gollakota (University of Washington)"
"19",19,"Casual Microtasking: Embedding Microtasks in Facebook"," Nathan Hahn (Carnegie Mellon University)"
"721",19,"Casual Microtasking: Embedding Microtasks in Facebook"," Shamsi T. Iqbal"
"1423",19,"Casual Microtasking: Embedding Microtasks in Facebook"," Jaime Teevan (Microsoft Research)"
"20",20,"Making Sense of Art: Access for Gallery Visitors with Vision Impairments"," Leona Holloway"
"722",20,"Making Sense of Art: Access for Gallery Visitors with Vision Impairments"," Kim Marriott"
"1424",20,"Making Sense of Art: Access for Gallery Visitors with Vision Impairments"," Matthew Butler (Monash University)"
"2126",20,"Making Sense of Art: Access for Gallery Visitors with Vision Impairments"," Alan Borning (University of Washington)"
"21",21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum"," Cara Wilson"
"723",21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum"," Margot Brereton"
"1425",21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum"," Bernd Ploderer"
"2127",21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum"," Laurianne Sitbon (Queensland University of Technology)"
"22",22,"Emotional Utility and Recall of the Facebook News Feed"," Pawarat Nontasil"
"724",22,"Emotional Utility and Recall of the Facebook News Feed"," Stephen J. Payne (University of Bath)"
"23",23,"The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh"," Mohammad Rashidujjaman Rifat (University of Toronto)"
"725",23,"The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh"," Hasan Mahmud Prottoy (Bangladesh University of Engineering and Technology)"
"1427",23,"The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh"," Syed Ishtiaque Ahmed (University of Toronto)"
"24",24,"EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios"," Ruolin Wang"
"726",24,"EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios"," Chun Yu (Tsinghua University)"
"1428",24,"EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios"," Xing-Dong Yang (Dartmouth College)"
"2130",24,"EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios"," Weijie He (Tsinghua University)"
"2832",24,"EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios"," Yuanchun Shi (Tsinghua University)"
"25",25,"Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard"," Sangyoon Lee"
"727",25,"Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard"," Jaeyeon Lee"
"1429",25,"Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard"," Geehyuk Lee (Korea Advanced Institute of Science and Technology)"
"26",26,"Impact of Contextual Factors on Snapchat Public Sharing"," Hana Habib (Carnegie Mellon University)"
"728",26,"Impact of Contextual Factors on Snapchat Public Sharing"," Neil Shah"
"1430",26,"Impact of Contextual Factors on Snapchat Public Sharing"," Rajan Vaish (Snap Inc.)"
"27",27,"Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments"," Martez E. Mott"
"729",27,"Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments"," Jacob O. Wobbrock (University of Washington)"
"28",28,"MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments"," Shang Wang (Arizona State University)"
"730",28,"MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments"," Deniz Sonmez Unal"
"1432",28,"MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments"," Erin Walker (University of Pittsburgh)"
"29",29,"Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing"," Judith Dorrenbacher"
"731",29,"Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing"," Marc Hassenzahl (University of Siegen)"
"30",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Adrian Hazzard"
"732",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Chris Greenhalgh"
"1434",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Maria Kallionpaa"
"2136",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Steve Benford (University of Nottingham)"
"2838",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Anne Veinberg (Leiden University)"
"3540",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Zubin Kanga (University of London)"
"4242",30,"Failing with Style: Designing for Aesthetic Failure in Interactive Performance"," Andrew McPherson (Queen Mary University of London)"
"31",31,"The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups"," Diyi Yang"
"733",31,"The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups"," Zheng Yao"
"1435",31,"The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups"," Joseph Seering"
"2137",31,"The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups"," Robert Kraut (Carnegie Mellon University)"
"32",32,"Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users"," Liam Mason (University of Lincoln)"
"734",32,"Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users"," Kathrin Gerling (KU Leuven)"
"1436",32,"Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users"," Patrick Dickinson (University of Lincoln)"
"2138",32,"Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users"," Antonella De Angeli (University of Lincoln & University of Trento)"
"33",33,"Designing 'True Colors': A Social Wearable that Affords Vulnerability"," Ella Dagan (University of California Santa Cruz)"
"735",33,"Designing 'True Colors': A Social Wearable that Affords Vulnerability"," Elena Marquez Segura (Uppsala University)"
"1437",33,"Designing 'True Colors': A Social Wearable that Affords Vulnerability"," Ferran Altarriba Bertran"
"2139",33,"Designing 'True Colors': A Social Wearable that Affords Vulnerability"," Miguel Flores"
"2841",33,"Designing 'True Colors': A Social Wearable that Affords Vulnerability"," Katherine Isbister (University of California Santa Cruz)"
"34",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," William Odom (Simon Fraser University)"
"736",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Ron Wakkary (Eindhoven University of Technology)"
"1438",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Jeroen Hol"
"2140",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Bram Naus"
"2842",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Pepijn Verburg (Eindhoven University of Technology)"
"3544",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Tal Amram"
"4246",34,"Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly"," Amy Yo Sue Chen (Simon Fraser University)"
"35",35,"From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old"," Laura Devendorf (University of Colorado Boulder)"
"737",35,"From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old"," Kristina Andersen (Eindhoven University of Technology)"
"1439",35,"From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old"," Daniela K. Rosner (University of Washington)"
"2141",35,"From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old"," Ron Wakkary (Simon Fraser University & Eindhoven University of Technology)"
"2843",35,"From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old"," James Pierce (University of California Berkeley)"
"36",36,"Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home"," Alissa N. Antle"
"738",36,"Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home"," Elgin-Skye McLaren (Simon Fraser University)"
"1440",36,"Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home"," Holly Fiedler (Langara College)"
"2142",36,"Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home"," Naomi Johnson (Social Work Independent Consultant)"
"37",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Jianzhe Gu (Carnegie Mellon University)"
"739",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," David E. Breen (Carnegie Mellon University & Drexel University)"
"1441",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Jenny Hu (Carnegie Mellon Univeristy)"
"2143",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Lifeng Zhu (Southeast University & Carnegie Mellon University)"
"2845",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Ye Tao (Zhejiang Univeristy & Carnegie Mellon University)"
"3547",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Tyson Van de Zande"
"4249",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Guanyun Wang"
"4951",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Yongjie Jessica Zhang"
"5653",37,"Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path"," Lining Yao (Carnegie Mellon University)"
"38",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Jon McCormack"
"740",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Toby Gifford"
"1442",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Patrick Hutchings (Monash University)"
"2144",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Maria Teresa Llano Rodriguez"
"2846",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Matthew Yee-King"
"3548",38,"In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound"," Mark d'Inverno (University of London)"
"39",39,"Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data"," Vanessa Echeverria (University of Technology Sydney)"
"741",39,"Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data"," Roberto Martinez-Maldonado"
"1443",39,"Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data"," Simon Buckingham Shum (University of Technology Sydney)"
"40",40,"At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study"," Michael Braun (BMW Group Research & Ludwig Maximilian University of Munich)"
"742",40,"At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study"," Anja Mainz (Ludwig Maximilian University of Munich)"
"1444",40,"At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study"," Ronee Chadowitz (BMW Group Research)"
"2146",40,"At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study"," Bastian Pfleging (Ludwig Maximilian University of Munich)"
"2848",40,"At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study"," Florian Alt (Bundeswehr University Munich & Ludwig Maximilian University of Munich)"
"41",41,"Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services"," Anna Brown (Massey University)"
"743",41,"Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services"," Alexandra Chouldechova (Carnegie Mellon University & Microsoft Research)"
"1445",41,"Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services"," Emily Putnam-Hornstein (University of Southern California)"
"2147",41,"Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services"," Andrew Tobin (Massey University)"
"2849",41,"Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services"," Rhema Vaithianathan (Auckland University of Technology)"
"42",42,"ActiveInk: (Th)Inking with Data"," Hugo Romat"
"744",42,"ActiveInk: (Th)Inking with Data"," Nathalie Henry Riche"
"1446",42,"ActiveInk: (Th)Inking with Data"," Ken Hinckley"
"2148",42,"ActiveInk: (Th)Inking with Data"," Bongshin Lee (Microsoft Research)"
"2850",42,"ActiveInk: (Th)Inking with Data"," Caroline Appert (Universite Paris-Saclay)"
"3552",42,"ActiveInk: (Th)Inking with Data"," Emmanuel Pietriga (Inria Universite Paris-Saclay)"
"4254",42,"ActiveInk: (Th)Inking with Data"," Christopher Collins (Microsoft Research)"
"43",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Jacob Kittley-Davies (University of Southampton)"
"745",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Ahmed Alqaraawi"
"1447",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Rayoung Yang"
"2149",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Enrico Costanza (University College London)"
"2851",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Alex Rogers (University of Oxford)"
"3553",43,"Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study"," Sebastian Stein (University of Southampton)"
"44",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Guo Freeman (Clemson University)"
"746",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Jeffrey Bardzell"
"1448",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Shaowen Bardzell"
"2150",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Szu-Yu (Cyn) Liu"
"2852",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Xi Lu"
"3554",44,"Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics"," Diandian Cao (Indiana University)"
"45",45,"Smart Home Security Cameras and Shifting Lines of Creepiness: A Design-Led Inquiry"," James Pierce (University of California Berkeley)"
"46",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Leah Findlater"
"748",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Bonnie Chinh"
"1450",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Dhruv Jain"
"2152",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Jon Froehlich (University of Washington)"
"2854",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Raja Kushalnagar (Gallaudet University)"
"3556",46,"Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies"," Angela Carey Lin (University of Washington)"
"47",47,"The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface"," Chelsea M. Myers"
"749",47,"The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface"," Anushay Furqan"
"1451",47,"The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface"," Jichen Zhu (Drexel University)"
"48",48,"Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation"," Evan Strasnick"
"750",48,"Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation"," Sean Follmer"
"1452",48,"Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation"," Maneesh Agrawala (Stanford University)"
"49",49,"A Practice-Led Account of the Conceptual Evolution of UX Knowledge"," Yubo Kou (Florida State University)"
"751",49,"A Practice-Led Account of the Conceptual Evolution of UX Knowledge"," Colin M. Gray (Purdue University)"
"50",50,"Understanding Visual Cues in Visualizations Accompanied by Audio Narrations"," Ha-Kyung Kong"
"752",50,"Understanding Visual Cues in Visualizations Accompanied by Audio Narrations"," Wenjie Zhu (University of Illinois at Urbana-Champaign)"
"1454",50,"Understanding Visual Cues in Visualizations Accompanied by Audio Narrations"," Zhicheng Liu (Adobe Research)"
"2156",50,"Understanding Visual Cues in Visualizations Accompanied by Audio Narrations"," Karrie Karahalios (Adobe Research & University of Illinois at Urbana-Champaign)"
