ID,Title,Authors,Org
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Been Kim,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Daniel Smilkov,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Martin Wattenberg,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Fernanda Viegas,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Greg S. Corrado,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Martin C. Stumpe,Google Brain
4,Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making, Michael Terry (Google Brain),Google Brain
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Jocelyn Spence,University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Benjamin Bedwell,University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Michelle Coleman,University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Steve Benford,University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Boriana N. Koleva,University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, (University of Nottingham),University of Nottingham
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Matt Adams,Blast Theory
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Ju Row Farr,Blast Theory
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Nick Tandavanitj (Blast Theory),Blast Theory
5,Seeing with New Eyes: Designing for In-the-Wild Museum Gifting, Anders Sundnes Lovlie (IT University of Copenhagen),IT University of Copenhagen
6,Design and Plural Heritages: Composing Critical Futures, Tom Schofield,Newcastle University
6,Design and Plural Heritages: Composing Critical Futures, Daniel Foster Smith,Newcastle University
6,Design and Plural Heritages: Composing Critical Futures, Gonul Bozoglu,Newcastle University
6,Design and Plural Heritages: Composing Critical Futures, Christopher Whitehead (Newcastle University),Newcastle University
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Aditi Mallavarapu (University of Illinois at Chicago),University of Illinois at Chicago
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Leilah Lyons (University of Illinois at Chicago & New York Hall of Science),University of Illinois at Chicago & New York Hall of Science
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Stephen Uzzo (New York Hall of Science),New York Hall of Science
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Wren Thompson (New York Hall of Science),New York Hall of Science
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Rinat Levy-Cohen (Fordham University),Fordham University
7,Connect-to-Connected Worlds: Piloting a Mobile Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum, Brian Slattery (University of Illinois at Chicago),University of Illinois at Chicago
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Alexis Hiniker,University of Washington
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Jon E. Froehlich,University of Washington
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Mingrui Zhang,University of Washington
8,Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies, Erin Beneteau (University of Washington),University of Washington
9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, John Harris,University of Waterloo
9,To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative Play, Mark Hancock (University of Waterloo),University of Waterloo
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Leandro Florez-Aristizabal (Inst. Universitaria Antonio Jose Camacho),Inst. Universitaria Antonio Jose Camacho
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Sandra Cano (Universidad de San Buenaventura),Universidad de San Buenaventura
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Cesar A. Collazos (Universidad del Cauca),Universidad del Cauca
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Andres F. Solano (Universidad Autonoma de Occidente),Universidad Autonoma de Occidente
10,DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children with Disabilities, Stephen Brewster (University of Glasgow),University of Glasgow
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Jotaro Shigeyama,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Takeru Hashimoto,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Shigeo Yoshida,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Takuji Narumi,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Tomohiro Tanikawa,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, Michitaka Hirose,The University of Tokyo
11,Transcalibur: A Weight Shifting Virtual Reality Controller for 2D Shape Rendering based on Computational Perception Model, (The University of Tokyo),The University of Tokyo
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Xujing Zhang,Queen's University
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Sean Braley,Queen's University
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Calvin Rubens (Queen's University),Queen's University
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Timothy Merritt (Aalborg University),Aalborg University
12,LightBee: A Self-Levitating Light Field Display for Hologrammatic Telepresence, Roel Vertegaal (Queen's University),Queen's University
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Hemant Bhaskar Surale,University of Waterloo
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Aakar Gupta,University of Waterloo
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Mark Hancock,University of Waterloo
13,TabletInVR: Exploring the Design Space for Using a Multi-Touch Tablet in Virtual Reality, Daniel Vogel (University of Waterloo),University of Waterloo
14,RotoSwype: Word-Gesture Typing using a Ring, Aakar Gupta,University of Waterloo
14,RotoSwype: Word-Gesture Typing using a Ring, Cheng Ji (University of Waterloo),University of Waterloo
14,RotoSwype: Word-Gesture Typing using a Ring, Hui-Shyong Yeo,University of St Andrews
14,RotoSwype: Word-Gesture Typing using a Ring, Aaron Quigley (University of St Andrews),University of St Andrews
14,RotoSwype: Word-Gesture Typing using a Ring, Daniel Vogel (University of Waterloo),University of Waterloo
15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Yasha Iravantchi,Carnegie Mellon University
15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Mayank Goel,Carnegie Mellon University
15,BeamBand: Hand Gesture Sensing with Ultrasonic Beamforming, Chris Harrison (Carnegie Mellon University),Carnegie Mellon University
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Joao Guerreiro (Carnegie Mellon University),Carnegie Mellon University
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Dragan Ahmetovic (Carnegie Mellon University),Carnegie Mellon University
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Daisuke Sato (IBM Research & Carnegie Mellon University),IBM Research & Carnegie Mellon University
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Kris Kitani (Robotics Institute),Robotics Institute
16,Airport Accessibility and Navigation Assistance for People with Visual Impairments, Chieko Asakawa (Carnegie Mellon University),Carnegie Mellon University
17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience, Simon T. Perrault (Yale-NUS College & Korea Advanced Institute of Science and Technology),Yale-NUS College & Korea Advanced Institute of Science and Technology
17,Effects of Moderation and Opinion Heterogeneity on Attitude towards the Online Deliberation Experience, Weiyu Zhang (National University of Singapore),National University of Singapore
18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking, Anran Wang,University of Washington
18,MilliSonic: Pushing the Limits of Acoustic Motion Tracking, Shyamnath Gollakota (University of Washington),University of Washington
19,Casual Microtasking: Embedding Microtasks in Facebook, Nathan Hahn (Carnegie Mellon University),Carnegie Mellon University
19,Casual Microtasking: Embedding Microtasks in Facebook, Shamsi T. Iqbal,Microsoft Research
19,Casual Microtasking: Embedding Microtasks in Facebook, Jaime Teevan (Microsoft Research),Microsoft Research
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Leona Holloway,Monash University
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Kim Marriott,Monash University
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Matthew Butler (Monash University),Monash University
20,Making Sense of Art: Access for Gallery Visitors with Vision Impairments, Alan Borning (University of Washington),University of Washington
21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Cara Wilson,Queensland University of Technology
21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Margot Brereton,Queensland University of Technology
21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Bernd Ploderer,Queensland University of Technology
21,"Co-Design Beyond Words: ""Moments of Interaction"" with Minimally-Verbal Children on the Autism Spectrum", Laurianne Sitbon (Queensland University of Technology),Queensland University of Technology
22,Emotional Utility and Recall of the Facebook News Feed, Pawarat Nontasil,University of Bath
22,Emotional Utility and Recall of the Facebook News Feed, Stephen J. Payne (University of Bath),University of Bath
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Mohammad Rashidujjaman Rifat (University of Toronto),University of Toronto
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Hasan Mahmud Prottoy (Bangladesh University of Engineering and Technology),Bangladesh University of Engineering and Technology
23,The Breaking Hand: Skills Care and Sufferings of the Hands of an Electronic Waste Worker in Bangladesh, Syed Ishtiaque Ahmed (University of Toronto),University of Toronto
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Ruolin Wang,Tsinghua University
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Chun Yu (Tsinghua University),Tsinghua University
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Xing-Dong Yang (Dartmouth College),Dartmouth College
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Weijie He (Tsinghua University),Tsinghua University
24,EarTouch: Facilitating Smartphone Use for Visually Impaired People in Mobile and Public Scenarios, Yuanchun Shi (Tsinghua University),Tsinghua University
25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Sangyoon Lee,Korea Advanced Institute of Science and Technology
25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Jaeyeon Lee,Korea Advanced Institute of Science and Technology
25,Diagnosing and Coping with Mode Errors in Korean-English Dual-language Keyboard, Geehyuk Lee (Korea Advanced Institute of Science and Technology),Korea Advanced Institute of Science and Technology
26,Impact of Contextual Factors on Snapchat Public Sharing, Hana Habib (Carnegie Mellon University),Carnegie Mellon University
26,Impact of Contextual Factors on Snapchat Public Sharing, Neil Shah,Snap Inc.
26,Impact of Contextual Factors on Snapchat Public Sharing, Rajan Vaish (Snap Inc.),Snap Inc.
27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments, Martez E. Mott,University of Washington
27,Cluster Touch: Improving Touch Accuracy on Smartphones for People with Motor and Situational Impairments, Jacob O. Wobbrock (University of Washington),University of Washington
28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Shang Wang (Arizona State University),Arizona State University
28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Deniz Sonmez Unal,University of Pittsburgh
28,MindDot: Supporting Effective Cognitive Behaviors in Concept Map-Based Learning Environments, Erin Walker (University of Pittsburgh),University of Pittsburgh
29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing, Judith Dorrenbacher,University of Siegen
29,Changing Perspective: A Co-Design Approach to Explore Future Possibilities of Divergent Hearing, Marc Hassenzahl (University of Siegen),University of Siegen
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Adrian Hazzard,University of Nottingham
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Chris Greenhalgh,University of Nottingham
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Maria Kallionpaa,University of Nottingham
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Steve Benford (University of Nottingham),University of Nottingham
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Anne Veinberg (Leiden University),Leiden University
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Zubin Kanga (University of London),University of London
30,Failing with Style: Designing for Aesthetic Failure in Interactive Performance, Andrew McPherson (Queen Mary University of London),Queen Mary University of London
31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Diyi Yang,Carnegie Mellon University
31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Zheng Yao,Carnegie Mellon University
31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Joseph Seering,Carnegie Mellon University
31,The Channel Matters: Self-disclosure Reciprocity and Social Support in Online Cancer Support Groups, Robert Kraut (Carnegie Mellon University),Carnegie Mellon University
32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Liam Mason (University of Lincoln),University of Lincoln
32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Kathrin Gerling (KU Leuven),KU Leuven
32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Patrick Dickinson (University of Lincoln),University of Lincoln
32,Design Goals for Playful Technology to Support Physical Activity Among Wheelchair Users, Antonella De Angeli (University of Lincoln & University of Trento),University of Lincoln & University of Trento
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Ella Dagan (University of California Santa Cruz),University of California Santa Cruz
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Elena Marquez Segura (Uppsala University),Uppsala University
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Ferran Altarriba Bertran,University of California Santa Cruz
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Miguel Flores,University of California Santa Cruz
33,Designing 'True Colors': A Social Wearable that Affords Vulnerability, Katherine Isbister (University of California Santa Cruz),University of California Santa Cruz
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, William Odom (Simon Fraser University),Simon Fraser University
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Ron Wakkary (Eindhoven University of Technology),Eindhoven University of Technology
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Jeroen Hol,Eindhoven University of Technology
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Bram Naus,Eindhoven University of Technology
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Pepijn Verburg (Eindhoven University of Technology),Eindhoven University of Technology
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Tal Amram,Simon Fraser University
34,Investigating Slowness as a Frame to Design Longer-Term Experiences with Personal Data: A Field Study of Olly, Amy Yo Sue Chen (Simon Fraser University),Simon Fraser University
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Laura Devendorf (University of Colorado Boulder),University of Colorado Boulder
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Kristina Andersen (Eindhoven University of Technology),Eindhoven University of Technology
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Daniela K. Rosner (University of Washington),University of Washington
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, Ron Wakkary (Simon Fraser University & Eindhoven University of Technology),Simon Fraser University & Eindhoven University of Technology
35,From HCI to HCI-Amusement: Strategies for Engaging what New Technology Makes Old, James Pierce (University of California Berkeley),University of California Berkeley
36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Alissa N. Antle,Simon Fraser University
36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Elgin-Skye McLaren (Simon Fraser University),Simon Fraser University
36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Holly Fiedler (Langara College),Langara College
36,Evaluating the Impact of a Mobile Neurofeedback App for Young Children at School and Home, Naomi Johnson (Social Work Independent Consultant),Social Work Independent Consultant
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Jianzhe Gu (Carnegie Mellon University),Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, David E. Breen (Carnegie Mellon University & Drexel University),Carnegie Mellon University & Drexel University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Jenny Hu (Carnegie Mellon Univeristy),Carnegie Mellon Univeristy
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Lifeng Zhu (Southeast University & Carnegie Mellon University),Southeast University & Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Ye Tao (Zhejiang Univeristy & Carnegie Mellon University),Zhejiang Univeristy & Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Tyson Van de Zande,Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Guanyun Wang,Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Yongjie Jessica Zhang,Carnegie Mellon University
37,Geodesy: Self-rising 2.5D Tiles by Printing along 2D Geodesic Closed Path, Lining Yao (Carnegie Mellon University),Carnegie Mellon University
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Jon McCormack,Monash University
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Toby Gifford,Monash University
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Patrick Hutchings (Monash University),Monash University
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Maria Teresa Llano Rodriguez,University of London
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Matthew Yee-King,University of London
38,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound, Mark d'Inverno (University of London),University of London
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Vanessa Echeverria (University of Technology Sydney),University of Technology Sydney
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Roberto Martinez-Maldonado,University of Technology Sydney
39,Towards Collaboration Translucence: Giving Meaning to Multimodal Group Data, Simon Buckingham Shum (University of Technology Sydney),University of Technology Sydney
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Michael Braun (BMW Group Research & Ludwig Maximilian University of Munich),BMW Group Research & Ludwig Maximilian University of Munich
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Anja Mainz (Ludwig Maximilian University of Munich),Ludwig Maximilian University of Munich
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Ronee Chadowitz (BMW Group Research),BMW Group Research
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Bastian Pfleging (Ludwig Maximilian University of Munich),Ludwig Maximilian University of Munich
40,At Your Service: Designing Voice Assistant Personalities to Improve Automotive User Interfaces: A Real World Driving Study, Florian Alt (Bundeswehr University Munich & Ludwig Maximilian University of Munich),Bundeswehr University Munich & Ludwig Maximilian University of Munich
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Anna Brown (Massey University),Massey University
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Alexandra Chouldechova (Carnegie Mellon University & Microsoft Research),Carnegie Mellon University & Microsoft Research
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Emily Putnam-Hornstein (University of Southern California),University of Southern California
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Andrew Tobin (Massey University),Massey University
41,Toward Algorithmic Accountability in Public Services: A Qualitative Study of Affected Community Perspectives on Algorithmic Decision-making in Child Welfare Services, Rhema Vaithianathan (Auckland University of Technology),Auckland University of Technology
42,ActiveInk: (Th)Inking with Data, Hugo Romat,Microsoft Research
42,ActiveInk: (Th)Inking with Data, Nathalie Henry Riche,Microsoft Research
42,ActiveInk: (Th)Inking with Data, Ken Hinckley,Microsoft Research
42,ActiveInk: (Th)Inking with Data, Bongshin Lee (Microsoft Research),Microsoft Research
42,ActiveInk: (Th)Inking with Data, Caroline Appert (Universite Paris-Saclay),Universite Paris-Saclay
42,ActiveInk: (Th)Inking with Data, Emmanuel Pietriga (Inria Universite Paris-Saclay),Inria Universite Paris-Saclay
42,ActiveInk: (Th)Inking with Data, Christopher Collins (Microsoft Research),Microsoft Research
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Jacob Kittley-Davies (University of Southampton),University of Southampton
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Ahmed Alqaraawi,University College London
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Rayoung Yang,University College London
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Enrico Costanza (University College London),University College London
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Alex Rogers (University of Oxford),University of Oxford
43,Evaluating the Effect of Feedback from Different Computer Vision Processing Stages: A Comparative Lab Study, Sebastian Stein (University of Southampton),University of Southampton
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Guo Freeman (Clemson University),Clemson University
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Jeffrey Bardzell,Indiana University
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Shaowen Bardzell,Indiana University
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Szu-Yu (Cyn) Liu,Indiana University
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Xi Lu,Indiana University
44,Smart and Fermented Cities: An Approach to Placemaking in Urban Informatics, Diandian Cao (Indiana University),Indiana University
45,Smart Home Security Cameras and Shifting Lines of Creepiness: A Design-Led Inquiry, James Pierce (University of California Berkeley),University of California Berkeley
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Leah Findlater,University of Washington
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Bonnie Chinh,University of Washington
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Dhruv Jain,University of Washington
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Jon Froehlich (University of Washington),University of Washington
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Raja Kushalnagar (Gallaudet University),Gallaudet University
46,Deaf and Hard-of-hearing Individuals' Preferences for Wearable and Mobile Sound Awareness Technologies, Angela Carey Lin (University of Washington),University of Washington
47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Chelsea M. Myers,Drexel University
47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Anushay Furqan,Drexel University
47,The Impact of User Characteristics and Preferences on Performance with an Unfamiliar Voice User Interface, Jichen Zhu (Drexel University),Drexel University
48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Evan Strasnick,Stanford University
48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Sean Follmer,Stanford University
48,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation, Maneesh Agrawala (Stanford University),Stanford University
